diag;niv;libell
F1053;2;Trouble psychotique avec symptômes polymorphes au premier plan, dû à l'alcool                                                                                                                                                                                                                               
F1054;2;Trouble psychotique avec symptômes dépressifs au premier plan, dû à l'alcool                                                                                                                                                                                                                                
F1055;2;Trouble psychotique avec symptômes maniaques au premier plan, dû à l'alcool                                                                                                                                                                                                                                 
F1056;2;Trouble psychotique mixte, dû à l'alcool                                                                                                                                                                                                                                                                    
F106;3;Troubles mentaux et du comportement liés à l'utilisation d'alcool : syndrome amnésique                                                                                                                                                                                                                      
F107;3;Troubles mentaux et du comportement liés à l'utilisation d'alcool : trouble résiduel ou psychotique de survenue tardive                                                                                                                                                                                     
F1070;3;Flashbacks, dus à l'alcool                                                                                                                                                                                                                                                                                  
F1071;3;Trouble de la personnalité ou du comportement, résiduel ou de survenue tardive, dû à l'alcool                                                                                                                                                                                                               
F1072;3;Trouble thymique résiduel ou de survenue tardive, dû à l'alcool                                                                                                                                                                                                                                             
F1073;3;Démence, due à l'alcool                                                                                                                                                                                                                                                                                     
F1074;3;Autre déficit cognitif persistant ou de survenue tardive, dû à l'alcool                                                                                                                                                                                                                                     
F1075;3;Trouble psychotique à début tardif, dû à l'alcool                                                                                                                                                                                                                                                           
F111;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : utilisation nocive pour la santé                                                                                                                                                                                                       
F113;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : syndrome de sevrage                                                                                                                                                                                                                    
F1130;2;Syndrome de sevrage des opiacés, sans complication                                                                                                                                                                                                                                                          
F1131;2;Syndrome de sevrage des opiacés, avec convulsions                                                                                                                                                                                                                                                           
F114;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : syndrome de sevrage avec delirium                                                                                                                                                                                                      
F1140;2;Syndrome de sevrage des opiacés avec délirium, sans convulsion                                                                                                                                                                                                                                              
F1141;2;Syndrome de sevrage des opiacés avec délirium, avec convulsions                                                                                                                                                                                                                                             
F115;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : trouble psychotique                                                                                                                                                                                                                    
F1150;2;Trouble psychotique d'allure schizophrénique, dû aux opiacés                                                                                                                                                                                                                                                
F1151;2;Trouble psychotique avec idées délirantes au premier plan, dû aux opiacés                                                                                                                                                                                                                                   
F1152;2;Trouble psychotique avec hallucinations au premier plan, dû aux opiacés                                                                                                                                                                                                                                     
F1153;2;Trouble psychotique avec symptômes polymorphes au premier plan, dû aux opiacés                                                                                                                                                                                                                              
F1154;2;Trouble psychotique avec symptômes dépressifs au premier plan, dû aux opiacés                                                                                                                                                                                                                               
F1155;2;Trouble psychotique avec symptômes maniaques au premier plan, dû aux opiacés                                                                                                                                                                                                                                
F1156;2;Trouble psychotique mixte, dû aux opiacés                                                                                                                                                                                                                                                                   
F116;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : syndrome amnésique                                                                                                                                                                                                                     
F117;2;Troubles mentaux et du comportement liés à l'utilisation d'opiacés : trouble résiduel ou psychotique de survenue tardive                                                                                                                                                                                    
F1170;2;Flashbacks, dus aux opiacés                                                                                                                                                                                                                                                                                 
F1171;2;Trouble de la personnalité ou du comportement, résiduel ou de survenue tardive, dû aux opiacés                                                                                                                                                                                                              
F1172;2;Trouble thymique résiduel ou de survenue tardive, dû aux opiacés                                                                                                                                                                                                                                            
F1173;2;Démence, due aux opiacés                                                                                                                                                                                                                                                                                    
F1174;2;Autre déficit cognitif persistant ou de survenue tardive, dû aux opiacés                                                                                                                                                                                                                                    
F1175;2;Trouble psychotique à début tardif, dû aux opiacés                                                                                                                                                                                                                                                          
F118;2;Autres troubles mentaux et du comportement liés à l'utilisation d'opiacés                                                                                                                                                                                                                                   
F133;3;Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques : syndrome de sevrage                                                                                                                                                                                                 
F1330;3;Syndrome de sevrage des sédatifs ou hypnotiques, sans complication                                                                                                                                                                                                                                          
F1331;3;Syndrome de sevrage des sédatifs ou hypnotiques, avec convulsions                                                                                                                                                                                                                                           
F134;3;Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques : syndrome de sevrage avec delirium                                                                                                                                                                                   
F1340;3;Syndrome de sevrage des sédatifs ou hypnotiques avec délirium, sans convulsion                                                                                                                                                                                                                              
F1341;3;Syndrome de sevrage des sédatifs ou hypnotiques avec délirium, avec convulsions                                                                                                                                                                                                                             
F135;2;Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques : trouble psychotique                                                                                                                                                                                                 
F1350;2;Trouble psychotique d'allure schizophrénique, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                                
F1351;2;Trouble psychotique avec idées délirantes au premier plan, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                   
F1352;2;Trouble psychotique avec hallucinations au premier plan, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                     
F1353;2;Trouble psychotique avec symptômes polymorphes au premier plan, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                              
F1354;2;Trouble psychotique avec symptômes dépressifs au premier plan, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                               
F1355;2;Trouble psychotique avec symptômes maniaques au premier plan, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                
F1356;2;Trouble psychotique mixte, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                                                   
F136;2;Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques : syndrome amnésique                                                                                                                                                                                                  
F137;2;Troubles mentaux et du comportement liés à l'utilisation de sédatifs ou d'hypnotiques : trouble résiduel ou psychotique de survenue tardive                                                                                                                                                                 
F1370;2;Flashbacks, dus aux sédatifs ou hypnotiques                                                                                                                                                                                                                                                                 
F1371;2;Trouble de la personnalité ou du comportement, résiduel ou de survenue tardive, dû aux sédatifs ou hypnotiques                                                                                                                                                                                              
F1372;2;Trouble thymique résiduel ou de survenue tardive, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                            
F1373;2;Démence, due aux sédatifs ou hypnotiques                                                                                                                                                                                                                                                                    
F1374;2;Autre déficit cognitif persistant ou de survenue tardive, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                    
F1375;2;Trouble psychotique à début tardif, dû aux sédatifs ou hypnotiques                                                                                                                                                                                                                                          
F200;2;Schizophrénie paranoïde                                                                                                                                                                                                                                                                                     
F2000;2;Schizophrénie paranoïde continue                                                                                                                                                                                                                                                                            
F2001;2;Schizophrénie paranoïde épisodique avec déficit progressif                                                                                                                                                                                                                                                  
F2002;2;Schizophrénie paranoïde épisodique avec déficit stable                                                                                                                                                                                                                                                      
F2003;2;Schizophrénie paranoïde épisodique rémittente                                                                                                                                                                                                                                                               
F2004;2;Schizophrénie paranoïde, rémission incomplète                                                                                                                                                                                                                                                               
F2005;2;Schizophrénie paranoïde, rémission complète                                                                                                                                                                                                                                                                 
F2008;2;Schizophrénie paranoïde, autre évolution                                                                                                                                                                                                                                                                    
F2009;2;Schizophrénie paranoïde, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                           
F201;2;Schizophrénie hébéphrénique                                                                                                                                                                                                                                                                                 
F2010;2;Schizophrénie hébéphrénique continue                                                                                                                                                                                                                                                                        
F2011;2;Schizophrénie hébéphrénique épisodique avec déficit progressif                                                                                                                                                                                                                                              
F2012;2;Schizophrénie hébéphrénique épisodique avec déficit stable                                                                                                                                                                                                                                                  
F2013;2;Schizophrénie hébéphrénique épisodique rémittente                                                                                                                                                                                                                                                           
F2014;2;Schizophrénie hébéphrénique, rémission incomplète                                                                                                                                                                                                                                                           
F2015;2;Schizophrénie hébéphrénique, rémission complète                                                                                                                                                                                                                                                             
F2018;2;Schizophrénie hébéphrénique, autre évolution                                                                                                                                                                                                                                                                
F2019;2;Schizophrénie hébéphrénique, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                       
F202;2;Schizophrénie catatonique                                                                                                                                                                                                                                                                                   
F2020;2;Schizophrénie catatonique continue                                                                                                                                                                                                                                                                          
F2021;2;Schizophrénie catatonique épisodique avec déficit progressif                                                                                                                                                                                                                                                
F2022;2;Schizophrénie catatonique épisodique avec déficit stable                                                                                                                                                                                                                                                    
F2023;2;Schizophrénie catatonique épisodique rémittente                                                                                                                                                                                                                                                             
F2024;2;Schizophrénie catatonique, rémission incomplète                                                                                                                                                                                                                                                             
F2025;2;Schizophrénie catatonique, rémission complète                                                                                                                                                                                                                                                               
F2028;2;Schizophrénie catatonique, autre évolution                                                                                                                                                                                                                                                                  
F2029;2;Schizophrénie catatonique, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                         
F203;2;Schizophrénie indifférenciée                                                                                                                                                                                                                                                                                
F2030;2;Schizophrénie indifférenciée continue                                                                                                                                                                                                                                                                       
F2031;2;Schizophrénie indifférenciée épisodique avec déficit progressif                                                                                                                                                                                                                                             
F2032;2;Schizophrénie indifférenciée épisodique avec déficit stable                                                                                                                                                                                                                                                 
F2033;2;Schizophrénie indifférenciée épisodique rémittente                                                                                                                                                                                                                                                          
F2034;2;Schizophrénie indifférenciée, rémission incomplète                                                                                                                                                                                                                                                          
F2035;2;Schizophrénie indifférenciée, rémission complète                                                                                                                                                                                                                                                            
F2038;2;Schizophrénie indifférenciée, autre évolution                                                                                                                                                                                                                                                               
F2039;2;Schizophrénie indifférenciée, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                      
F204;2;Dépression post-schizophrénique                                                                                                                                                                                                                                                                             
F2040;2;Dépression postschizophrénique continue                                                                                                                                                                                                                                                                     
F2041;2;Dépression postschizophrénique épisodique avec déficit progressif                                                                                                                                                                                                                                           
F2042;2;Dépression postschizophrénique épisodique avec déficit stable                                                                                                                                                                                                                                               
F2043;2;Dépression postschizophrénique épisodique rémittente                                                                                                                                                                                                                                                        
F2044;2;Dépression postschizophrénique, rémission incomplète                                                                                                                                                                                                                                                        
F2045;2;Dépression postschizophrénique, rémission complète                                                                                                                                                                                                                                                          
F2048;2;Dépression postschizophrénique, autre évolution                                                                                                                                                                                                                                                             
F2049;2;Dépression postschizophrénique, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                    
F205;2;Schizophénie résiduelle                                                                                                                                                                                                                                                                                     
F2050;2;Schizophrénie résiduelle continue                                                                                                                                                                                                                                                                           
F2051;2;Schizophrénie résiduelle épisodique avec déficit progressif                                                                                                                                                                                                                                                 
F2052;2;Schizophrénie résiduelle épisodique avec déficit stable                                                                                                                                                                                                                                                     
F2053;2;Schizophrénie résiduelle épisodique rémittente                                                                                                                                                                                                                                                              
F2054;2;Schizophrénie résiduelle, rémission incomplète                                                                                                                                                                                                                                                              
F2055;2;Schizophrénie résiduelle, rémission complète                                                                                                                                                                                                                                                                
F2058;2;Schizophrénie résiduelle, autre évolution                                                                                                                                                                                                                                                                   
F2059;2;Schizophrénie résiduelle, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                          
F206;2;Schizophrénie simple                                                                                                                                                                                                                                                                                        
F2060;2;Schizophrénie simple continue                                                                                                                                                                                                                                                                               
F2061;2;Schizophrénie simple épisodique avec déficit progressif                                                                                                                                                                                                                                                     
F2062;2;Schizophrénie simple épisodique avec déficit stable                                                                                                                                                                                                                                                         
F2063;2;Schizophrénie simple épisodique rémittente                                                                                                                                                                                                                                                                  
F2064;2;Schizophrénie simple, rémission incomplète                                                                                                                                                                                                                                                                  
F2065;2;Schizophrénie simple, rémission complète                                                                                                                                                                                                                                                                    
F2068;2;Schizophrénie simple, autre évolution                                                                                                                                                                                                                                                                       
F2069;2;Schizophrénie simple, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                              
F208;2;Autres formes de schizophrénie                                                                                                                                                                                                                                                                              
F2080;2;Autres formes de schizophrénie continue                                                                                                                                                                                                                                                                     
F2081;2;Autres formes de schizophrénie épisodique avec déficit progressif                                                                                                                                                                                                                                           
F2082;2;Autres formes de schizophrénie épisodique avec déficit stable                                                                                                                                                                                                                                               
F2083;2;Autres formes de schizophrénie épisodique rémittente                                                                                                                                                                                                                                                        
F2084;2;Autres formes de schizophrénie, rémission incomplète                                                                                                                                                                                                                                                        
F2085;2;Autres formes de schizophrénie, rémission complète                                                                                                                                                                                                                                                          
F2088;2;Autres formes de schizophrénie, autre évolution                                                                                                                                                                                                                                                             
F2089;2;Autres formes de schizophrénie, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                    
F209;2;Schizophrénie, sans précision                                                                                                                                                                                                                                                                               
F2090;2;Schizophrénie, sans précision,  continue                                                                                                                                                                                                                                                                    
F2091;2;Schizophrénie, sans précision,  épisodique avec déficit progressif                                                                                                                                                                                                                                          
F2092;2;Schizophrénie, sans précision,  épisodique avec déficit stable                                                                                                                                                                                                                                              
F2093;2;Schizophrénie, sans précision,  épisodique rémittente                                                                                                                                                                                                                                                       
F2094;2;Schizophrénie, sans précision, rémission incomplète                                                                                                                                                                                                                                                         
F2095;2;Schizophrénie, sans précision, rémission complète                                                                                                                                                                                                                                                           
F2098;2;Schizophrénie, sans précision, autre évolution                                                                                                                                                                                                                                                              
F2099;2;Schizophrénie, sans précision, évolution imprévisible, période d'observation trop brève                                                                                                                                                                                                                     
F21;2;Trouble schizotypique                                                                                                                                                                                                                                                                                       
F220;2;Trouble délirant                                                                                                                                                                                                                                                                                            
F228;2;Autres troubles délirants persistants                                                                                                                                                                                                                                                                       
F229;2;Trouble délirant persistant, sans précision                                                                                                                                                                                                                                                                 
F230;2;Trouble psychotique aigu polymorphe, (sans symptômes schizophréniques)                                                                                                                                                                                                                                      
F2300;2;Trouble psychotique aigu polymorphe sans symptôme schizophrénique, sans facteur de stress aigu associé                                                                                                                                                                                                      
