diag;niv;libell
A182;2;Adénopathie tuberculeuse périphérique                                                                                                                                                                                                                                                                       
A183;3;Tuberculose de l'intestin, du péritoine et des ganglions mésentériques                                                                                                                                                                                                                                      
A184;2;Tuberculose de la peau et du tissu cellulaire sous-cutané                                                                                                                                                                                                                                                   
A185;2;Tuberculose de l'oeil                                                                                                                                                                                                                                                                                       
A186;2;Tuberculose de l'oreille                                                                                                                                                                                                                                                                                    
A187;2;Tuberculose des surrénales (E35.1*)                                                                                                                                                                                                                                                                         
A188;2;Tuberculose d'autres organes précisés                                                                                                                                                                                                                                                                       
A190;4;Tuberculose miliaire aiguë, localisation unique et précisée                                                                                                                                                                                                                                                 
A191;4;Tuberculose miliaire aiguë, sièges multiples                                                                                                                                                                                                                                                                
A192;4;Tuberculose miliaire aiguë, sans précision                                                                                                                                                                                                                                                                  
A198;4;Autres tuberculoses miliaires                                                                                                                                                                                                                                                                               
A199;4;Tuberculose miliaire, sans précision                                                                                                                                                                                                                                                                        
A203;4;Peste méningée                                                                                                                                                                                                                                                                                              
A217;3;Tularémie généralisée                                                                                                                                                                                                                                                                                       
A227;3;Sepsis charbonneux                                                                                                                                                                                                                                                                                          
A241;3;Mélioïdose aiguë et galopante                                                                                                                                                                                                                                                                               
A250;2;Spirillose                                                                                                                                                                                                                                                                                                  
A251;2;Streptobacillose                                                                                                                                                                                                                                                                                            
A259;2;Fièvre causée par morsure de rat, sans précision                                                                                                                                                                                                                                                            
A260;2;Érysipéloïde cutanée                                                                                                                                                                                                                                                                                        
A267;3;Sepsis à Erysipelothrix                                                                                                                                                                                                                                                                                     
A268;2;Autres formes d'érysipéloïde                                                                                                                                                                                                                                                                                
A269;2;Érysipéloïde, sans précision                                                                                                                                                                                                                                                                                
A270;2;Leptospirose ictéro-hémorragique                                                                                                                                                                                                                                                                            
A278;2;Autres formes de leptospirose                                                                                                                                                                                                                                                                               
A279;2;Leptospirose, sans précision                                                                                                                                                                                                                                                                                
A300;2;Lèpre indéterminée                                                                                                                                                                                                                                                                                          
A301;2;Lèpre tuberculoïde                                                                                                                                                                                                                                                                                          
A302;2;Lèpre tuberculoïde de type intermédiaire atypique                                                                                                                                                                                                                                                           
A303;2;Lèpre de type intermédiaire atypique                                                                                                                                                                                                                                                                        
A304;2;Lèpre lépromateuse de type intermédiaire atypique                                                                                                                                                                                                                                                           
A305;2;Lèpre lépromateuse                                                                                                                                                                                                                                                                                          
A308;2;Autres formes de lèpre                                                                                                                                                                                                                                                                                      
A309;2;Lèpre, sans précision                                                                                                                                                                                                                                                                                       
A310;3;Infection pulmonaire à mycobactéries atypiques                                                                                                                                                                                                                                                              
A311;3;Infection cutanée à mycobacteries atypiques                                                                                                                                                                                                                                                                 
A318;3;Autres infections à mycobacteries atypiques                                                                                                                                                                                                                                                                 
A319;3;Infection à mycobacteries atypiques, sans précision                                                                                                                                                                                                                                                         
A320;3;Listériose cutanée                                                                                                                                                                                                                                                                                          
A321;4;Méningite et méningo-encéphalite listériennes                                                                                                                                                                                                                                                               
A327;4;Sepsis à Listeria                                                                                                                                                                                                                                                                                           
A328;3;Autres formes de listériose                                                                                                                                                                                                                                                                                 
A329;3;Listériose, sans précision                                                                                                                                                                                                                                                                                  
A33;3;Tétanos néonatal                                                                                                                                                                                                                                                                                            
A34;3;Tétanos obstétrical                                                                                                                                                                                                                                                                                         
A35;3;Autres formes de tétanos                                                                                                                                                                                                                                                                                    
A370;2;Coqueluche à Bordetella pertussis                                                                                                                                                                                                                                                                           
A371;2;Coqueluche à Bordetella parapertussis                                                                                                                                                                                                                                                                       
A378;2;Coqueluche due à d'autres espèces de Bordetella                                                                                                                                                                                                                                                             
A379;2;Coqueluche, sans précision                                                                                                                                                                                                                                                                                  
A390;4;Méningite à méningocoques (G01*)                                                                                                                                                                                                                                                                            
A391;2;Syndrome de Waterhouse-Friderichsen (E35.1*)                                                                                                                                                                                                                                                                
A392;2;Méningococcémie aiguë                                                                                                                                                                                                                                                                                       
A393;2;Méningococcémie chronique                                                                                                                                                                                                                                                                                   
A394;2;Méningococcémie, sans précision                                                                                                                                                                                                                                                                             
A395;2;Cardite à méningocoques                                                                                                                                                                                                                                                                                     
A398;2;Autres infections à méningocoques                                                                                                                                                                                                                                                                           
A399;2;Infection méningococcique, sans précision                                                                                                                                                                                                                                                                   
A400;4;Sepsis à streptocoques, groupe A                                                                                                                                                                                                                                                                            
A401;4;Sepsis à streptocoques, groupe B                                                                                                                                                                                                                                                                            
A402;4;Sepsis à streptocoques, groupe D et entérocoques                                                                                                                                                                                                                                                            
A403;4;Sepsis à Streptococcus pneumoniae                                                                                                                                                                                                                                                                           
A408;4;Autres sepsis à streptocoques                                                                                                                                                                                                                                                                               
A409;4;Sepsis à streptocoques, sans précision                                                                                                                                                                                                                                                                      
A410;4;Sepsis à staphylocoques dorés                                                                                                                                                                                                                                                                               
A411;4;Sepsis à d'autres staphylocoques précisés                                                                                                                                                                                                                                                                   
A412;4;Sepsis à staphylocoques non précisés                                                                                                                                                                                                                                                                        
A413;3;Sepsis à Haemophilus influenzae                                                                                                                                                                                                                                                                             
A414;4;Sepsis à microorganismes anaérobies                                                                                                                                                                                                                                                                         
A415;4;Sepsis à d'autres microorganismes Gram négatif                                                                                                                                                                                                                                                              
